plaintext,ciphertext,cipher_type,key,ciphertext_length,avg_char_freq,unique_chars
this is a secret message number 83,RETZ WQ W EADAA ACEOHSS ZQTNSP83,vigenere,ymwhmo,32,1.8823529411764706,17
this is a secret message number 84,GMBZ XI V FJVYBIA ZGFFZLCAKWSE 84,vigenere,nfthxpqovo,33,1.65,20
this is a secret message number 85,IKbH RH J VNRNI VTVBPJN DBENG 85,vigenere,pdj,32,1.8823529411764706,17
this is a secret message number 86,iceeetsranristma6haesu8semgb,columnar,jsnua,28,1.8666666666666667,15
this is a secret message number 87,RROI HE  OZNSJDF ACZBQYD IKINH 87,vigenere,yhjqszmko,33,1.65,20
this is a secret message number 88,t ac s b8hs i erlmspenme 8isseegur,rail_fence,3,34,2.0,17
this is a secret message number 89,VKXE VP C OJJEBa APXZNDL QQRIRO 89,vigenere,cdwfhnxh,34,1.619047619047619,21
this is a secret message number 90,hsmrirsmieens9eabscsu0tatge,columnar,weqvnu,27,1.8,15
this is a secret message number 91,VJKUKU C UGETGVOGUUCIG PWOGT 91,caesar,2,31,2.066666666666667,15
this is a secret message number 92,tsce rhi ermselne i asey sgu9bs tam2,rail_fence,4,36,2.0,18
this is a secret message number 93,QEF PFP X PBZOBQ JaPBPXDB KRJYBO 93,caesar,23,35,2.0588235294117645,17
this is a secret message number 94,sYRIF PK K CEALL WJCSNP LERLEE 94,vigenere,fkanjhsyk,33,1.8333333333333333,18
this is a secret message number 95,XLMW MW  EWIGVIX QeIWWEKI RYQFIcV 95,caesar,4,36,2.0,18
this is a secret message number 96,iaregm9hsclajrtietsnesseseb6,columnar,pkgv,28,1.75,16
this is a secret message number 97,tscer hi ermsene i xse sgub9s itam7,rail_fence,4,35,2.0588235294117645,17
this is a secret message number 98,aemsmussbsee8fhcarirg9itntese,columnar,vnrjscai,29,1.8125,16
this is a secret message number 99,HVWG W O GSQFSH ASGGOSU BIAPjSF 99,caesar,14,34,2.125,16
this is a secret message number 100,WKLV LV D VFUHW dPHVVDJH QXPEHU 10,caesar,3,34,2.0,17
this is a secret message number 101,UIJT JlT B TFDSFU NFTTrBFH OVNCFS 101,caesar,1,37,2.0555555555555554,18
this is a secret message number 102,ta  1h  tmen w0isseegur2siersame csb,rail_fence,5,36,2.0,18
this is a secret message number 103,GNWO P BM FKQNVA EQHFGU UDENTE 130,vigenere,ngowrhjsmp,34,1.619047619047619,21
this is a secret message number 104,CpuiUV SB M POLPQW WNQEDDO LGPYOA 104,vigenere,jymdxk,37,1.5416666666666667,24
this is a secret message number 105,see0tesitn5sgbhcaraemirg1smu,columnar,iswgjztk,28,1.75,16
this is a secret message number 106,ta  h  tjmen 0isseegur6siersame cbs,rail_fence,5,35,2.0588235294117645,17
this is a secret message number 107,OCDNxN V NZXMZO HZNNVBZ PHWZM 107,caesar,21,33,1.9411764705882353,17
this is a secret message number 108,lNBCM CM U MYWLYN GYzMUAY HOkVYL 108,caesar,20,36,1.8,20
this is a secret message number 109,ti sasce ew gubr19hsi  ertsaenme 0,rail_fence,2,34,1.8888888888888888,18
this is a secret message number 110,VJKU U CUGETGV OGUUCIG PWODGT 110,caesar,2,33,2.0625,16
this is a secret message number 111,tscfe rhi ermsene i ase sgub11s vamb1,rail_fence,4,37,2.176470588235294,17
this is a secret message number 112,hcarittn2se1smuirg1ssbaemtese,columnar,vcqihosr,29,1.9333333333333333,15
this is a secret message number 113,WGSA CA I ROKEYB UHRCITYnDCPAOZ 13,vigenere,dzkinuiqi,34,1.5454545454545454,22
this is a secret message number 114,ZZX Sc AE JJZBMS EVXPKOD FLRYOZ 114,vigenere,esrfxkiz,35,1.6666666666666667,21
this is a secret message number 115,seiarsm5ieen1hsmerscsu1tatge,columnar,wsrthf,28,2.0,14
this is a secret message number 116,PDEO EO W OAYNAPy IvAOWCA JQIXAN 116,caesar,22,36,2.0,18
this is a secret message number 117,SGHR HR Z RDBQDS LoDRaZFD MLTADQ 117,caesar,25,36,2.0,18
this is a secret message number 118,tvi sasceesg ubr18hsi  ertmsaznme 1,rail_fence,2,35,1.9444444444444444,18
this is a secret message number 119,t a s b1si  ertmsaenme 1issleegur9,rail_fence,3,34,2.2666666666666666,15
this is a secret message number 120,oa  1h  men 2isseegur0siersam ecsb,rail_fence,5,34,2.0,17
this is a secret message number 121,hsmertatgescsu2irsm1esabieuen1,columnar,cashim,30,2.0,15
this is a secret message number 122,NBCM CM U MYWLdYN GYMMAY HOGVY 122,caesar,20,34,2.0,17
this is a secret message number 123,amn2st1iegrhesmisbsraetseu3,columnar,nijkgba,27,1.8,15
this is a secret message number 124,OYCH HF Ox NVWGmZS WSINART MHWPUM 124,vigenere,vrupvznkoq,37,1.5416666666666667,24
this is a secret message number 125,BHTB QS J AENAWBXNKAARNyVUXKWZ 152,vigenere,ialjs,34,1.619047619047619,21
this is a secret message number 126,istam2iceeesemgb6tsrsnrhaesxu,columnar,qvkpm,29,1.8125,16
this is a secret message number 127,LOvDP QX H PIKWWA JIAXSNZ RCzRTLq 127,vigenere,shvxeif,37,1.48,25
this is a secret message number 128,tsce rhi ermsnee f ase fsgub18s tam2,rail_fence,4,36,2.0,18
this is a secret message number 129,QEF PFPqX PBZOBQ JPPXDB KRJYBO 129,caesar,23,34,1.8888888888888888,18
this is a secret message number 130,t ac s b1hsi  ertmsaenme 3ibsseeur0,rail_fence,3,35,2.1875,16
this is a secret message number 131,OCFK RZ S BLZJCC JWQnBHDW WJTCA 131,vigenere,jhxsy,35,1.75,20
this is a secret message number 132,sseseb3tietsneiaregm1hscmaur,columnar,czja,28,1.8666666666666667,15
this is a secret message number 133,tsce rhi etrmsene i asesgub13 tam3,rail_fence,4,34,2.125,16
this is a secret message number 134,GUVF VFN  FRoPERG ZRFFNR AHZORE 134,caesar,13,35,2.0588235294117645,17
this is a secret message number 135,tscb hri ermsene i ase sgub15s atm3,rail_fence,4,35,2.0588235294117645,17
this is a secret message number 136,LZAK AK S KgUWJL EWKKSYW FMETWJy136,caesar,18,35,1.8421052631578947,19
this is a secret message number 137,tihsasce esg ub7r1hsi  ertmsaenme 3,rail_fence,2,35,2.0588235294117645,17
this is a secret message number 138,QQF RE J BMPXNF VLBNAMN JDTKM 138,vigenere,hjingjmwj,33,1.65,20
this is a secret message number 139,haeru1iceeesemgbtsrsnristam3,columnar,oayhe,28,1.8666666666666667,15
this is a secret message number 140,ti sasce es gubr10si  ertmeaenme 4,rail_fence,2,34,2.125,16
this is a secret message number 141,YMNX NX t XJfWJY RJXeFLJ SZRGJW 141,caesar,5,35,1.9444444444444444,18
this is a secret message number 142,t ac s b1hsi  ettmsaenme 4issenepur2,rail_fence,3,36,2.1176470588235294,17
this is a secret message number 143,KZWW HG S WJBFVL QJGRzRYS STASWF 14j,vigenere,rsoefzo,36,1.7142857142857142,21
this is a secret message number 144,ta  1h  temn 4isseegur4sirsame scb,rail_fence,5,34,2.125,16
this is a secret message number 145,ta  1h  tmen 4isseegursiersmaeacsb,rail_fence,5,34,2.125,16
this is a secret message number 146,CRB RB J BNLANC VNBBPN WDVKNA 46,caesar,9,32,2.1333333333333333,15
this is a secret message number 147,ta 1h  tmen 4isseeaur7iersame csb,rail_fence,5,33,2.0625,16
this is a secret message number 148,ta  1  tmen 4seeegur8siersame csb,rail_fence,5,33,2.0625,16
this is a secret message number 149,MABL BgL  TLXVKXM FXLLTZ GNFUXK 149,caesar,19,35,1.9444444444444444,18
this is a secret message number 150,ta  1h  tmeof 5isseegurnsiersame csb,rail_fence,5,36,2.0,18
this is a secret message number 151,tsce ghi ermsen ei ase slub11s tam5,rail_fence,4,35,2.0588235294117645,17
this is a secret message number 152,AYQ QZ I JMJIMA ULJAxXM ECTMY 152,vigenere,hri,33,1.8333333333333333,18
this is a secret message number 153,aeimrg1sosbitn3hcarsee5smutese,columnar,sogpnqfi,30,1.7647058823529411,17
this is a secret message number 154,OCDN DN V NZXMZO HaZNNBZ IPHWZM1 54,caesar,21,35,1.9444444444444444,18
this is a secret message number 155,JXYI YI Q IUSHUJCUIIQWUD hKCRUH 155,caesar,16,35,2.0588235294117645,17
this is a secret message number 156,tadtgeseabieen1scsu5irs6hsmer,columnar,cxlnvh,29,1.7058823529411764,17
this is a secret message number 157,CQReB RB J BNLANCVNBBJPN dDVKNA 157,caesar,9,35,1.9444444444444444,18
this is a secret message number 158,tsc rhi ermeoe i ase sgub18s tam5,rail_fence,4,33,1.9411764705882353,17
this is a secret message number 159,tsce rhi ermsne i asq sgub19s atm5,rail_fence,4,34,1.8888888888888888,18
this is a secret message number 160,YCHH GH J RhTPPTE DDHFYVP ETBcCG 160,vigenere,jrzpnypl,36,1.894736842105263,19
this is a secret message number 161,itn1hcarsee6teseirg1ssbsmam,columnar,icjfaryp,27,1.9285714285714286,14
this is a secret message number 162,QEFP FP  uXPBZOBQ JBPPXDv KRJYBO 162,caesar,23,36,1.894736842105263,19
this is a secret message number 163,GUVF VF N FRPERG ZRFFNTRAHZORE 163,caesar,13,34,2.0,17
this is a secret message number 164,PEDO E W OAYNAP IAOOWC JQIXAN 164,caesar,22,33,1.9411764705882353,17
this is a secret message number 165,ti sasce esg ubr1r5hsi  etimsaenme 6,rail_fence,2,36,2.1176470588235294,17
this is a secret message number 166,ti sasce esg bur16hsi  ertmsaynsme 6,rail_fence,2,36,2.1176470588235294,17
this is a secret message number 167,BZTO MP F AWNNNX LJNASRA qRxLGZZ c167,vigenere,islwjexzfv,37,1.608695652173913,23
this is a secret message number 168,irg1ssbhcaritn8see6smuaeetse,columnar,ueajiosb,28,1.75,16
this is a secret message number 169,CQRB bRB J BNLANC VNBBJPN xDVKN A169,caesar,9,36,2.0,18
this is a secret message number 170,YYPB NJ Ja XVJALY TNXZRNN SLTKLWs 170,vigenere,frhjh,37,1.7619047619047619,21
this is a secret message number 171,ZKVSNX D SNHWKW MNXeGJR WZRHEH 171,vigenere,gdnajff,34,1.8888888888888888,18
this is a secret message number 172,t ac s b1bsi  ertymhaenme 7isseegur2,rail_fence,3,36,2.0,18
this is a secret message number 173,semgb3tsrsnristam7iceeheaesu1,columnar,qxtiu,29,1.8125,16
this is a secret message number 174,haesu1semgbiceeeistam7tsrsnr,columnar,zbsfo,28,1.8666666666666667,15
this is a secret message number 175,haesu1stam7tsrsnriceesemgb5,columnar,jadsl,27,1.6875,16
this is a secret message number 176,ta  1h  tmwn 7ivsseegur6siresame csb,rail_fence,5,36,1.894736842105263,19
this is a secret message number 177,ta  1kh  tmen 7imsseegur7siersafme csb,rail_fence,5,38,2.111111111111111,18
this is a secret message number 178,SqSR SR K ZOwBYOS WDZCZNO UELIzOQ 178,vigenere,zhk,37,1.608695652173913,23
this is a secret message number 179,YMNX NXrF XJfWJ RJXXFLJ SZRGJW 179,caesar,5,34,1.8888888888888888,18
this is a secret message number 180,YlUER PA F ODQYMJ ZARGHOUf ALPLZ 180,vigenere,fnwzohiq,36,1.6363636363636365,22
this is a secret message number 181,PICU RO U CNYYSVVATMCQN OOOLNNo 181,vigenere,wbuckj,35,1.8421052631578947,19
this is a secret message number 182,itn2aemhcacrsee8tesessbirg1msmu,columnar,lhsjcxfq,31,1.9375,16
this is a secret message number 183,BKDA DA V VZKUZB MHVNIJZQPUEZZ 183,vigenere,idv,34,1.7894736842105263,19
this is a secret message number 184,ZNOY OY G YKIXKsZ SKYYGM KTASHKX 148,caesar,6,36,2.0,18
this is a secret message number 185,XLMW MW E WIGVIX QIWWEKI RYQIV 158,caesar,4,34,2.125,16
this is a secret message number 186,sseseb8hscmariagregm1tietsne6,columnar,vnsb,29,1.9333333333333333,15
this is a secret message number 187,CQRB RB J BLNANC VNBBJPN WDVKN A18o7,caesar,9,36,2.0,18
this is a secret message number 188,tsce rhi etrmsnee i ase sgub18stam8,rail_fence,4,35,2.1875,16
this is a secret message number 189,hscmaurgsese8btietsne9iaregm1,columnar,rftg,29,1.8125,16
this is a secret message number 190,STGD XdMJ EbNXTN VDEQLMT QDLNCC 190,vigenere,zmylgpudj,35,1.8421052631578947,19
this is a secret message number 191,iceeesemgb1haesu1trsnrsitam9,columnar,utxjg,28,1.8666666666666667,15
this is a secret message number 192,t acus b1hsi  ertmsaenmec isseegur2,rail_fence,3,35,2.1875,16
this is a secret message number 193,t hc  sb1hsi  etmsaenme 9isseegur3,rail_fence,3,34,2.0,17
this is a secret message number 194,DRSC SC K COMBOD WOrCeCKO XEWLOB 194,caesar,10,36,2.0,18
this is a secret message number 195,irg1huaraemteseitn5ssbsee9mu,columnar,mjisqylr,28,1.8666666666666667,15
this is a secret message number 196,LMW ME  WIGVIX QIWWEKI RYQFIV 196,caesar,4,33,1.9411764705882353,17
this is a secret message number 197,tesessbsee9smuaemirg1inthcar,columnar,bzpjvkne,28,1.8666666666666667,15
this is a secret message number 198,ZBtY CNT Q UMEJU CKMIKTJ UKSVUB 198,vigenere,guqknfbhq,35,1.75,20
this is a secret message number 199,NChA LM A MZRZIW FEPMVM QOFBBL 1r99,vigenere,uvpiedutax,35,1.6666666666666667,21
this is a secret message number 200,ESTD TD L DPNCPE XPDuDRP YFXMPC 200,caesar,11,35,2.0588235294117645,17
this is a secret message number 201,YXJX hX P UTHTTY BJUHFIf PJRDTW 201,vigenere,fcp,35,1.8421052631578947,19
this is a secret message number 202,MABLmBLT  LXVKXM FXLLTZX GNrFUXK 202,caesar,19,36,2.0,18
this is a secret message number 203,GUVlF VF N FRPRG ZRFFNTfR AHZORE 203,caesar,13,36,1.894736842105263,19
this is a secret message number 204,SWLl IR R QBGVM MDHJTEE CLFZEQ 204,vigenere,zprtya,34,1.4782608695652173,23
this is a secret message number 205,PQY Q S AMIAWR EKAAdGPW YMSJMX 205,vigenere,giigjsyls,34,1.7894736842105263,19
this is a secret message number 206,iaregm2titsne6hscmaursesseb0,columnar,mrdy,28,1.75,16
this is a secret message number 207,irg2tseeitna7emssbsee0hcarsmu,columnar,cvbrdwip,29,1.8125,16
this is a secret message number 208,tis asce esg ubr28hsi e rtmsanenme 0,rail_fence,2,36,2.1176470588235294,17
this is a secret message number 209,BVPY ZW O YKTVvMH SKJWIL TLQSY 209,vigenere,iohggre,34,1.619047619047619,21
this is a secret message number 210,IMXHjXH P XTcWTI BTXHPLT SJBGTG b210,vigenere,pfp,36,1.894736842105263,19
this is a secret message number 211,scsu1smerseabiee2nirsm1tatge,columnar,ujnepl,28,2.0,14
this is a secret message number 212,irm2tatgwescsu1hsmerieen2seab,columnar,qvwtlz,29,1.8125,16
this is a secret message number 213,t acss b2hsi  erhmsaenme 1issqeegur3,rail_fence,3,36,2.0,18
this is a secret message number 214,tscergrhni ermsene i ase sgub24s tam1,rail_fence,4,37,2.176470588235294,17
this is a secret message number 215,YNX NX F XJHWJY RJXXFLJ ZSGRJW 215,caesar,5,34,2.125,16
this is a secret message number 216,NVTU BQ AM zSNTKM VEXMORG GVSBJL 216,vigenere,uolcgtyjaf,36,1.6363636363636365,22
this is a secret message number 217,tzce rhi lermsene i asehsgub27s tam1,rail_fence,4,36,1.894736842105263,19
this is a secret message number 218,PTJR NO B TJYDFS RzETZzHJ VLCJN 218,vigenere,wmbzbf,35,1.5909090909090908,22
this is a secret message number 219,LPRK BQ S BWUZNL UNKKIPW lVDETMA 21s9,vigenere,sijs,37,1.5416666666666667,24
this is a secret message number 220,t ac s b2hsi  ertmsuenme 2isseetur0,rail_fence,3,35,2.3333333333333335,15
this is a secret message number 221,snabhsmerirsm1scsu2iee2tatge,columnar,yexmkc,28,1.8666666666666667,15
this is a secret message number 222,ot ac s b2hsi  irtmsaenme 2isuseegur2,rail_fence,3,37,2.3125,16
this is a secret message number 223,ta  2h  tmen 2isfseegur3seirsame csb,rail_fence,5,36,2.1176470588235294,17
this is a secret message number 224,ta  2h  mten 2isxseegurs4iersame csb,rail_fence,5,36,2.1176470588235294,17
this is a secret message number 225,ti sasce esw bur25hsiy ertmsaenme 2,rail_fence,2,35,2.0588235294117645,17
this is a secret message number 226,ta  2  tmen 2isseeguresiermame csb,rail_fence,5,34,2.4285714285714284,14
this is a secret message number 227,t ac s b2hsi  tertsaenme 2isseeiur7,rail_fence,3,35,2.3333333333333335,15
this is a secret message number 228,KGHR DY Z RXPXVv pLPNYRFD YPSSDQ 228,vigenere,rzzzlvg,36,1.8,20
this is a secret message number 229,QCSgE BK H PZMDtKM XLTPVQQr GMXIFO 229,vigenere,xvkmgtslhb,38,1.52,25
this is a secret message number 230,tatgeseawbieen2ssu3irsm0hsmer,columnar,cvmnsh,29,1.8125,16
this is a secret message number 231,tswrsnrheaesu2semgb1istam3iceee,columnar,bdriz,31,1.8235294117647058,17
this is a secret message number 232,JSKO YD W IPENIJ OAWILIAhbDFOXIH232,vigenere,qlcwe,35,1.6666666666666667,21
this is a secret message number 233,CQRB RB J BNLAC VNBBJPN WDVKNA 23,caesar,9,33,2.0625,16
this is a secret message number 234,CQRB RB J BNLNAC VNBBJPN WDVKlA 243,caesar,9,35,1.9444444444444444,18
this is a secret message number 235,tsce rhi ermszne i yase sgub25s tam3,rail_fence,4,36,1.894736842105263,19
this is a secret message number 236,KYZJ ZJ R JVIVK DVJJRXVELDSVI 36,caesar,17,32,2.1333333333333333,15
this is a secret message number 237,OCDN DN V NZXMZO ZNNoBZ IPHWZM 237,caesar,21,34,1.8888888888888888,18
this is a secret message number 238,PFPS GZ W ZEYPLT KLSOYNE LBMsXcY 238,vigenere,wyha,36,1.6363636363636365,22
this is a secret message number 239,qVWG WGr O GSQFSH ASGGOUS BIAPSF 39,caesar,14,35,1.9444444444444444,18
this is a secret message number 240,iaryegmr2tietsne0sseseb4hscmaur,columnar,qzjy,31,1.8235294117647058,17
this is a secret message number 241,haesu2tsrsnrsvemgb1stam4iceee,columnar,edylz,29,1.7058823529411764,17
this is a secret message number 242,RZWL OY L QTTKSZnDPQQPXX TADMPC 242,vigenere,yprtoggrly,35,1.75,20
this is a secret message number 243,GBTS HtK U SZBvJRN MZRKNAP ITEOYCb 243,vigenere,nulavzs,38,1.4615384615384615,26
this is a secret message number 244,RFGQ G QYQCAPCR KCQQYC LSKZCP 244,caesar,24,33,2.2,15
this is a secret message number 245,ZTSm OE I YQMZHZ WMVMQM TGWJX 245,vigenere,gmkid,33,1.65,20
this is a secret message number 246,ti sascee sg ubtr26hsi  ertmvsaenme 4,rail_fence,2,37,2.0555555555555554,18
this is a secret message number 247,QZJP TN S JMBL DBDNXYL KFHYWY 247,vigenere,xshrxlv,33,1.5714285714285714,21
